ENSEMBL,means_sample_effectsample_5705STDY8058280,means_sample_effectsample_5705STDY8058281,means_sample_effectsample_5705STDY8058282,means_sample_effectsample_5705STDY8058283,means_sample_effectsample_5705STDY8058284,means_sample_effectsample_5705STDY8058285
ENSMUSG00000051951,0.16116558015346527,0.1500701755285263,0.2083149254322052,0.11178886890411377,0.11889570951461792,0.1446039080619812
ENSMUSG00000089699,0.04600398987531662,0.09147349745035172,0.0398617647588253,0.02035466954112053,0.019731272011995316,0.0152584845200181
ENSMUSG00000033845,0.009396369569003582,0.01091915462166071,0.007428452838212252,0.019336195662617683,0.022599363699555397,0.03018498793244362
ENSMUSG00000033813,0.010888857766985893,0.015363725833594799,0.015115433372557163,0.01735169254243374,0.031130602583289146,0.017038000747561455
ENSMUSG00000002459,0.01792151667177677,0.018384922295808792,0.021369799971580505,0.018306732177734375,0.027264662086963654,0.024343164637684822
ENSMUSG00000033793,0.029125217348337173,0.045175012201070786,0.06220550462603569,0.0570732057094574,0.079324871301651,0.058083321899175644
ENSMUSG00000025905,0.0006314184283837676,0.001677605090662837,0.0008850539452396333,0.0007672736537642777,0.0007061192882247269,0.001399679109454155
ENSMUSG00000025907,0.07973217219114304,0.08166347444057465,0.07082349807024002,0.11326184868812561,0.09243794530630112,0.07693126052618027
ENSMUSG00000090031,0.003224081126973033,0.0051877726800739765,0.01711820624768734,0.030794918537139893,0.020506082102656364,0.04194875806570053
ENSMUSG00000033740,0.05896010249853134,0.047030288726091385,0.05104032903909683,0.04843456298112869,0.05090918391942978,0.05036238953471184
ENSMUSG00000051285,0.028650088235735893,0.028907395899295807,0.07017184793949127,0.08989685028791428,0.09227383136749268,0.08865737169981003
ENSMUSG00000097797,0.005682113114744425,0.007274241652339697,0.0037602868396788836,0.0033039203844964504,0.008126047439873219,0.0026421004440635443
ENSMUSG00000025909,0.06993329524993896,0.06154663860797882,0.06239959970116615,0.05510237440466881,0.07271112501621246,0.057714998722076416
ENSMUSG00000061024,0.0028317607939243317,0.004976226482540369,0.003569726599380374,0.006517141126096249,0.013620207086205482,0.012206053361296654
ENSMUSG00000025911,0.0037787880282849073,0.0047478205524384975,0.004041600041091442,0.006781985051929951,0.007137175649404526,0.006165908183902502
ENSMUSG00000067879,0.01363053172826767,0.0038876491598784924,0.003313149558380246,0.007951452396810055,0.007423470262438059,0.012289850041270256
ENSMUSG00000045210,0.007760064210742712,0.01151416078209877,0.010908403433859348,0.030485784634947777,0.039897799491882324,0.02423221617937088
ENSMUSG00000097893,0.0024676299653947353,0.0017221421003341675,0.002195668639615178,0.004752550274133682,0.01101946085691452,0.0008987776818685234
ENSMUSG00000025915,0.02819702960550785,0.016688454896211624,0.022426210343837738,0.019771907478570938,0.03309524431824684,0.014374909922480583
ENSMUSG00000046101,0.013237010687589645,0.013083511963486671,0.007467650808393955,0.01218138262629509,0.021019259467720985,0.009543517604470253
ENSMUSG00000098234,0.004059655591845512,0.0024657987523823977,0.0031096371822059155,0.006485158111900091,0.005976929794996977,0.0011362459044903517
ENSMUSG00000087199,0.003287877421826124,0.0024509907234460115,0.0032283824402838945,0.012293407693505287,0.023662373423576355,0.0011179044377058744
